parameter_id,UCDLA_EYE_017_001
analysis_id,k7636uszfq6u8fg
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
parameter_name,Lens Opacity
pvalue,0.9835332
gene_symbol,Psd4
