analysis_id,80cf486jazd3f11
gene_symbol,Mov10
mouse_strain,C57BL
gene_accession_id,MGI:97054
parameter_name,Startle response
mouse_life_stage,Early adult
pvalue,0.3299506
parameter_id,HMGULA_SHI_009_001
