parameter_id,ICS_FEA_019_001
mouse_strain,B6J
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
analysis_id,4s6d0l474e5j6aw
parameter_name,% Freezing duration pre-cue-2
pvalue,0.5185559
