analysis_id,8j7e68nd8x2y6kf
parameter_id,IMPC_EYE_017_001
mouse_strain,C57BL
pvalue,0.9067715
gene_accession_id,MGI:1915033
parameter_name,Lens Opacity
gene_symbol,Ahctf1
mouse_life_stage,Early adult
