gene_symbol,Arpc5l
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
pvalue,0.3181544
parameter_id,MGP_IMM_094_001
gene_accession_id,MGI:1921442
analysis_id,39zyw542207eie6
mouse_strain,C57BL
mouse_life_stage,Early adult
