analysis_id,v8a7m187sz59e38
mouse_strain,C57BL
pvalue,0.5884964
mouse_life_stage,Early adult
parameter_name,Body Weight
parameter_id,M-G-P_020_001_001
gene_accession_id,MGI:1923029
gene_symbol,Dnaaf9
