analysis_id,hz3v3xwvp82p4uv
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Clvs1
pvalue,0.9783315
parameter_id,MGP_IMM_001_001
gene_accession_id,MGI:1921688
parameter_name,Total T cells - % of CD45+
