analysis_id,668gv549b3l2321
gene_accession_id,MGI:1345282
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
parameter_name,Light side time spent
gene_symbol,Slc30a4
pvalue,0.1317117
mouse_life_stage,Late adult
