analysis_id,9e4h495752bbhg6
pvalue,0.08245546
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
parameter_name,cDCs CD11b Type
gene_symbol,Dnajc6
mouse_strain,C57BL
