analysis_id,y221k9thh53mv3x
parameter_name,Forebrain
gene_symbol,Orc2
pvalue,0.6453561
parameter_id,IMPC_GEL_028_001
mouse_strain,C57BL
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
