parameter_name,Haemoglobin
analysis_id,35n21c1i0sf7v04
gene_symbol,Rhbg
mouse_strain,C57BL
gene_accession_id,MGI:1927379
parameter_id,ESLIM_016_001_003
pvalue,0.313656
mouse_life_stage,Early adult
