gene_symbol,Lcn2
mouse_life_stage,Early adult
pvalue,0.5695944
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:96757
mouse_strain,C57BL
analysis_id,ls91i79i5ogq745
parameter_name,Retina (combined)
