parameter_name,Shape of ribcage
pvalue,0.05662283
gene_symbol,Bmi1
gene_accession_id,MGI:88174
analysis_id,1x98xcs39y9ey32
parameter_id,IMPC_XRY_059_001
mouse_life_stage,Early adult
mouse_strain,C57BL
