analysis_id,05gh70p4ss62hg2
pvalue,0.1842861
mouse_strain,C57BL
gene_symbol,Trp53i11
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
gene_accession_id,MGI:2670995
