analysis_id,4z1dh95ry2ah6ny
mouse_life_stage,Late adult
gene_symbol,AU040320
parameter_name,Time mobile dark side
pvalue,0.7814668
gene_accession_id,MGI:2140475
parameter_id,JAX_LDT_005_001
mouse_strain,C57BL
