analysis_id,176f5217u55ip6u
gene_symbol,Orc2
parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:1328306
pvalue,0.7285036
mouse_strain,C57BL
mouse_life_stage,E9.5
