gene_symbol,Npbwr1
parameter_id,MGP_MLN_013_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,w167bk334nlt3w6
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.513318
gene_accession_id,MGI:891989
