parameter_id,IMPC_CAL_008_001
mouse_life_stage,Early adult
parameter_name,Total food intake
pvalue,0.3511487
gene_symbol,Trpa1
mouse_strain,C57BL
analysis_id,yv7959bul9kk386
gene_accession_id,MGI:3522699
