gene_symbol,Maco1
mouse_strain,C57BL
analysis_id,c7pjqszx918w87w
pvalue,0.439977
gene_accession_id,MGI:1913396
parameter_name,CD8+ alpha beta T cell percentage
parameter_id,MGP_PBI_004_001
mouse_life_stage,Early adult
