parameter_name,Triglycerides
parameter_id,HMGULA_CBC_017_001
gene_symbol,Nucks1
mouse_strain,C57BL
pvalue,1.583075e-05
mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
analysis_id,6768934q4pk5la2
