parameter_name,Aggression
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
analysis_id,s4db1102r502kvn
parameter_id,IMPC_CSD_079_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3313592
