analysis_id,lm91bx177o0p5w2
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
gene_symbol,Ints7
parameter_name,% Pre-pulse inhibition - PPI3
parameter_id,IMPC_ACS_035_001
mouse_strain,C57BL
pvalue,0.951469
