analysis_id,48i9o6yic749536
gene_symbol,Slc2a8
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
pvalue,0.06461363
parameter_id,MGP_MLN_071_001
