analysis_id,34743nq2z0a4yix
gene_accession_id,MGI:1915325
mouse_strain,C57BL
gene_symbol,Lurap1
mouse_life_stage,Early adult
pvalue,0.5115296
parameter_id,MGP_IMM_066_001
parameter_name,CD11b-high cDC - % of cDC
