analysis_id,mi9jj21fs8687x3
parameter_name,Creatinine
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
mouse_strain,C57BL
parameter_id,HMGULA_CBC_005_001
pvalue,0.3877297
gene_accession_id,MGI:2441730
