gene_symbol,Ivd
parameter_name,Midbrain
gene_accession_id,MGI:1929242
mouse_strain,C57BL
analysis_id,350uh9k604b7y4b
pvalue,0.2711324
parameter_id,IMPC_GEL_029_001
mouse_life_stage,Early adult
