analysis_id,7kw4d0715949321
mouse_strain,C57BL
pvalue,0.8696898
parameter_id,IMPC_CBC_016_001
mouse_life_stage,Early adult
parameter_name,HDL-cholesterol
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
