parameter_name,Snout size
mouse_strain,C57BL
gene_symbol,Ubxn11
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
parameter_id,MGP_CSD_067_001
pvalue,0.6773933
analysis_id,73ak839l5ch9815
