gene_symbol,Rab3gap2
analysis_id,8w19v3d34lj698v
gene_accession_id,MGI:1916043
mouse_strain,C57BL
pvalue,0.429733
parameter_name,PP1 + pulse startle magnitude
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_007
