parameter_id,TCPLA_GRS_011_001
pvalue,0.7839079
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,129SV
analysis_id,3ot11zx0366p9z3
mouse_life_stage,Early adult
gene_symbol,Cds2
gene_accession_id,MGI:1332236
