gene_symbol,Med22
mouse_strain,C52BL
analysis_id,n8ui5nxxxs1n3gz
parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
pvalue,0.218295
gene_accession_id,MGI:98446
mouse_life_stage,Early adult
