parameter_name,Periphery average speed
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1095193
parameter_id,JAX_OFD_013_001
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
analysis_id,r544qs4f4152f3y
