parameter_id,IMPC_XRY_024_001
gene_symbol,Ssr2
parameter_name,Femur
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,7rmn87gfl3441e6
gene_accession_id,MGI:1913506
pvalue,0.2948859
