analysis_id,c6l7bh668p47ha5
gene_accession_id,MGI:95457
pvalue,0.402479
gene_symbol,Mecom
mouse_life_stage,Early adult
parameter_id,MGP_PBI_032_001
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_strain,C3H
