analysis_id,04iwby465kl3i8c
parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
gene_symbol,Tox
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
pvalue,0.4350332
