analysis_id,36vk2vh644zlw38
pvalue,0.5031518
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_name,Weight
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
parameter_id,M-G-P_005_001_001
