gene_symbol,Pex19
parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:1334458
mouse_life_stage,E18.5
pvalue,0.2271995
analysis_id,13ek74rsv5rk2pu
parameter_id,IMPC_IMM_047_001
mouse_strain,C55BL
