analysis_id,xdzz7g8ufp1lxu4
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:95457
pvalue,0.6290622
mouse_life_stage,Early adult
mouse_strain,C3H
gene_symbol,Mecom
parameter_id,IMPC_IMM_004_002
