analysis_id,p3mf72w8e1m7rz7
mouse_life_stage,Early adult
parameter_name,Prepulse inhibition - PP3
mouse_strain,C57BL
gene_symbol,Usp37
gene_accession_id,MGI:2442483
parameter_id,ESLIM_011_001_703
pvalue,0.4367463
