parameter_name,Thyroxine
gene_symbol,Cntfr
analysis_id,m731e5n8jdoq21z
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
mouse_strain,C57BL
parameter_id,IMPC_CBC_053_001
pvalue,0.088484
