parameter_name,Eyelid morphology
gene_symbol,Cntfr
mouse_life_stage,Early adult
pvalue,0.6347421
analysis_id,8dw97sebfa3kh5p
gene_accession_id,MGI:99605
mouse_strain,129SV
parameter_id,IMPC_EYE_004_001
