analysis_id,hq00711f45hf9m8
parameter_name,B Cells
gene_symbol,Slc2a8
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1860103
parameter_id,IMPC_IMM_063_001
pvalue,0.4750523
