analysis_id,470i661010cbr80
parameter_name,Coat - color pattern - back
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
parameter_id,IMPC_CSD_008_001
pvalue,0.6041184
