gene_symbol,Nemp2
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.7817083
mouse_strain,C57BL
analysis_id,uqz7gxgwtec1g3k
parameter_id,MGP_MLN_067_001
gene_accession_id,MGI:2444113
