parameter_name,Fasted blood glucose concentration
mouse_life_stage,E15.5
parameter_id,IMPC_IPG_010_001
gene_symbol,Mecom
analysis_id,vk18u0v6558izha
gene_accession_id,MGI:95457
pvalue,0.9844923
mouse_strain,C57BL
