gene_symbol,Mapkap1
pvalue,0.3733857
parameter_id,IMPC_XRY_067_001
mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_name,Caudal processes
analysis_id,ldv24cm4xs0s8cg
gene_accession_id,MGI:2444554
