gene_symbol,Rufy4
gene_accession_id,MGI:3588214
pvalue,0.2861613
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,sq83766l51286o8
parameter_name,Eosinophils - % of CD45+
parameter_id,MGP_IMM_125_001
