parameter_name,Retina (combined)
pvalue,0.7518719
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Golm2
analysis_id,1bgr6622o9ywmg0
parameter_id,IMPC_EYE_092_001
