Gene_symbol,NANP
Parameter_name,Pericardium Morphology
Mouse_life_stage,Early adult
Parameter_id,IMPC_GEL_006_001
Analysis_id,6rvz84sm3g1e38v
Pvalue,0.7004663
Mouse_strain,C57BL
Gene_accession_id,MGI:1914561
