analysis_id,lkr467462nm1hgz
gene_symbol,Slc17a9
pvalue,0.8616049
parameter_name,Latency to first transition into dark
parameter_id,IMPC_LDT_006_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
