gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
analysis_id,p429g5et6s25mk2
mouse_life_stage,Early adult
mouse_strain,B6J
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
pvalue,0.3263656
