analysis_id,06atgw0113b719c
pvalue,0.1755448
parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Psd4
gene_accession_id,MGI:2674093
