parameter_id,JAX_TLS_001_001
analysis_id,93q8t3um7e83vqj
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Bmi1
pvalue,0.6948379
gene_accession_id,MGI:88174
parameter_name,Time immobile
