gene_symbol,Nr0b2
parameter_name,Response amplitude - S
mouse_strain,B6J
pvalue,0.3167595
analysis_id,756k0wm3os0870v
parameter_id,IMPC_ACS_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
