analysis_id,co0v125nj9en0n2
mouse_life_stage,Early adult
pvalue,0.9378989
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_strain,C3H
parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
