analysis_id,9799fk0s5g7pb4m
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
mouse_life_stage,Early adult
pvalue,0.7505324
parameter_name,Weight
parameter_id,CCP_LFO_001_001
mouse_strain,C57BL
