gene_symbol,Slx4ip
mouse_life_stage,Early adult
parameter_id,M-G-P_006_001_026
pvalue,0.4891115
parameter_name,Fusion of vertebrae
mouse_strain,C57BL
analysis_id,9yzb06wf5o7b430
gene_accession_id,MGI:1921493
