analysis_id,026kk806k07l92z
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.4461058
parameter_id,MGP_MLN_063_001
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
mouse_strain,C57BL
