gene_symbol,Ifi44
pvalue,0.4616177
analysis_id,t79q22q9u94d26b
mouse_life_stage,Early adult
gene_accession_id,MGI:2443016
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
mouse_strain,C57BL
