analysis_id,42ebo63l1ps11m8
pvalue,0.4877027
gene_accession_id,MGI:104848
mouse_strain,C57BL
gene_symbol,Inpp1
parameter_name,Response amplitude - S
parameter_id,IMPC_ACS_006_001
mouse_life_stage,Early adult
