gene_symbol,Steap3
mouse_life_stage,Early adult
analysis_id,c7h3z7k51rvk3q5
parameter_id,JAX_OFD_016_001
pvalue,0.1189744
parameter_name,Center permanence time
mouse_strain,C57BL
gene_accession_id,MGI:1915678
