analysis_id,c7s07h32q3t3e2k
parameter_id,IMPC_XRY_001_001
gene_accession_id,MGI:103302
gene_symbol,Bmp7
mouse_life_stage,Early adult
parameter_name,Skull shape
mouse_strain,C57BL
pvalue,0.8548349
