parameter_name,B Cells
gene_symbol,Zfp683
analysis_id,aqy00g440w241k9
pvalue,0.6492037
parameter_id,IMPC_IMM_063_001
gene_accession_id,MGI:3650254
mouse_strain,C57BL
mouse_life_stage,Early adult
