parameter_name,White blood cell count
gene_symbol,Snap23
analysis_id,m8c6jh70x80mkd0
mouse_strain,C57BL
parameter_id,HMGULA_HEM_001_001
pvalue,0.6153575
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
